id,title,description,ingredients,image
1,Iced Coffee,"A coffee with ice, typically served with a dash of milk, cream or sweetenerâ€”iced coffee is really as simple as that.","['Coffee', 'Ice', 'Sugar*', 'Cream*']",https://upload.wikimedia.org/wikipedia/commons/d/d8/Blue_Bottle%2C_Kyoto_Style_Ice_Coffee_%285909775445%29.jpg
2,Iced Espresso,"Like an iced coffee, iced espresso can be served straight or with a dash of milk, cream or sweetener. You can also ice speciality espresso-based drinks like americanos, mochas, macchiatos, lattes and flat whites.","['Espresso', 'Ice', 'Sugar*', 'Cream*']",https://upload.wikimedia.org/wikipedia/commons/b/b0/Home_Made_Ice_Coffee.jpg
3,Cold Brew,"The trendiest of the iced coffee bunch, cold brew coffees are made by steeping coffee beans from anywhere between 6-36 hours, depending on how strong you would like your cold brew. Once the beans are done steeping, add cold milk or cream.","['Long steeped coffee', 'Ice']",https://upload.wikimedia.org/wikipedia/commons/thumb/f/ff/ColdBrewCoffeein_Cans.png/640px-ColdBrewCoffeein_Cans.png
4,Frappuccino,"Made famous by Starbucks, the Frappuccino is a blended iced coffee drink thatâ€™s topped with whipped cream and syrup. ","['Espresso', 'Blended ice', 'Whip*']",https://upload.wikimedia.org/wikipedia/commons/2/2c/Strawberry_Delight_Frappuccino.JPG
5,Nitro,"A cold brew + nitrogen bubbles = a cold brew coffee with a frothy, Guinness-like consistency. (Itâ€™s poured via a nitro tap, too.)","['Coffee', 'Nitrogen bubbles', 'Sugar*', 'Cream*']",https://upload.wikimedia.org/wikipedia/commons/7/76/Nitro_Cold_Brew.jpg
6,Mazagran,"Mazagran coffee is a cross between iced coffee, tea and your favorite rum drink. It typically consists of espresso, lemon, sugar and (sometimes) rum.","['Coffee', 'Sugar', 'Lemon', 'Rum*']",https://upload.wikimedia.org/wikipedia/commons/c/c1/Caf%C3%A9_mazagran.jpg
1,Black,"Black coffee is as simple as it gets with ground coffee beans steeped in hot water, served warm. And if you want to sound fancy, you can call black coffee by its proper name: cafe noir.",['Coffee'],https://upload.wikimedia.org/wikipedia/commons/thumb/4/45/A_small_cup_of_coffee.JPG/640px-A_small_cup_of_coffee.JPG
2,Latte,"As the most popular coffee drink out there, the latte is comprised of a shot of espresso and steamed milk with just a touch of foam. It can be ordered plain or with a flavor shot of anything from vanilla to pumpkin spice.","['Espresso', 'Steamed Milk']",https://upload.wikimedia.org/wikipedia/commons/thumb/9/9f/Latte_at_Doppio_Ristretto_Chiang_Mai_01.jpg/509px-Latte_at_Doppio_Ristretto_Chiang_Mai_01.jpg
3,Cappuccino,"Cappuccino is a latte made with more foam than steamed milk, often with a sprinkle of cocoa powder or cinnamon on top. Sometimes you can find variations that use cream instead of milk or ones that throw in flavor shot, as well.","['Espresso', 'Steamed Milk', 'Foam']",https://upload.wikimedia.org/wikipedia/commons/e/ed/Wet_Cappuccino_with_heart_latte_art.jpg
4,Americano,"With a similar flavor to black coffee, the americano consists of an espresso shot diluted in hot water.","['Espresso', 'Hot Water']",https://upload.wikimedia.org/wikipedia/commons/thumb/0/09/Hokitika_Cheese_and_Deli%2C_Hokitika_%283526706594%29.jpg/1280px-Hokitika_Cheese_and_Deli%2C_Hokitika_%283526706594%29.jpg
5,Espresso,"An espresso shot can be served solo or used as the foundation of most coffee drinks, like lattes and macchiatos.",['1oz Espresso'],https://upload.wikimedia.org/wikipedia/commons/a/a5/Tazzina_di_caff%C3%A8_a_Ventimiglia.jpg
6,Doppio,"A double shot of espresso, the doppio is perfect for putting extra pep in your step.",['2oz Espresso'],https://upload.wikimedia.org/wikipedia/commons/thumb/f/f3/Doppio.jpg/2560px-Doppio.jpg
